freq,unit,na_item,geo\TIME_PERIOD	1975 	1976 	1977 	1978 	1979 	1980 	1981 	1982 	1983 	1984 	1985 	1986 	1987 	1988 	1989 	1990 	1991 	1992 	1993 	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 	2024 	2025 
A,CP_MEUR,B1GQ,AL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2217.9 	2548.1 	1998.1 	2330.5 	3086.0 	3893.5 	4539.0 	4789.5 	5095.7 	5956.3 	6639.8 	7293.6 	8131.4 	9058.0 	8871.8 	9117.0 	9328.0 	9528.7 	9641.0 	10020.0 	10339.2 	10835.1 	11770.8 	13016.9 	13917.9 	13379.5 	15243.1 	18068.1 	21730.5 	25000.7 p	: 
A,CP_MEUR,B1GQ,AT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	183629.2 	185944.9 	186913.0 	193947.0 	203064.9 	212406.8 	219373.3 	225087.9 	230541.9 	240541.7 	252354.9 	265933.7 	282208.2 	291846.2 	286274.1 	294050.6 	308167.0 	316589.4 	321191.7 	330113.5 	342083.5 	355665.6 	367294.9 	383234.3 	395706.8 	380317.9 	406231.5 	449382.2 	477837.3 	494087.6 	514328.1 
A,CP_MEUR,B1GQ,BA	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	6043.3 	6482.2 	7149.1 	7530.3 	8179.7 	9024.5 	10255.1 	11528.5 	13047.8 	12679.3 	12968.9 	13411.8 	13407.5 	13691.8 	13988.3 	14791.1 b	15474.3 	16260.5 	17354.2 	18296.5 	17755.9 	20014.7 	23324.1 	25523.8 	27483.1 	28913.9 
A,CP_MEUR,B1GQ,BE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	220251.5 	219965.3 	223032.7 	231015.7 	242307.6 	256376.4 	264334.9 	273255.9 	281200.2 	296819.7 	310037.6 	325151.5 	343618.9 	351743.1 	347734.9 b	363242.4 	378745.4 	387934.9 	394616.3 	404958.3 	415538.0 	428467.1 	443407.2 	459491.8 	479444.9 	463750.9 	506047.2 	561678.2 	601866.5 	619914.3 p	642015.3 p
A,CP_MEUR,B1GQ,BG	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	14518.4 	9827.9 	10064.7 	13437.4 	12804.2 	14440.0 	15905.3 	17478.3 	18798.3 	21093.2 	24039.9 	27409.6 	32464.2 	37246.1 	37417.1 	38289.4 	41479.2 	42254.6 	42055.5 	43024.0 	45797.1 	48751.4 	52501.0 	55999.7 	61194.4 	61855.6 	71343.9 	86078.2 	94525.1 	104767.2 	116018.3 p
A,CP_MEUR,B1GQ,CH	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	273995.8 	272263.4 	263836.7 	274324.8 	283403.8 	306049.4 	324180.2 	333532.9 	324514.6 	329451.7 	341407.5 	357403.3 	364638.8 	392126.6 	406170.8 	460894.0 	523943.1 	542930.1 	541150.6 	559049.9 	636419.8 	631447.6 	625926.6 	627171.6 	657857.6 	663105.6 	710646.0 	815869.1 	858396.6 	896448.7 	925874.8 
A,CP_MEUR,B1GQ,CY	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	7596.0 	7890.1 	8414.3 	9152.6 	9839.7 	10804.6 	11602.9 	12083.0 	12871.3 	13938.0 	15039.3 	16263.8 	17591.0 	19009.5 	18675.5 	19461.1 	19858.1 	19495.4 	18040.3 	17482.8 	17944.2 	19013.8 	20312.4 	21807.8 	23400.9 	22373.6 	25679.9 	29645.4 	32439.2 	34770.2 p	36483.5 p
A,CP_MEUR,B1GQ,CZ	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	46333.6 	53416.0 	55174.6 	60164.9 	61470.4 	67409.2 	76070.6 	87795.9 	88965.6 	96822.8 	110418.8 	124559.0 	138897.5 	161852.2 	149253.1 	159506.1 	166545.5 	163759.4 	160470.0 	158991.5 	170527.3 	179145.9 	196738.7 	213505.4 	229406.7 	220310.6 	246012.3 	286976.8 	319099.1 	320786.5 	346583.4 
A,CP_MEUR,B1GQ,DE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1517932.9 	1655317.2 	1774986.2 	1867918.1 	1983157.1 	1975310.3 	1958621.6 	2008652.6 	2077240.0 	2129660.0 	2195530.0 	2223360.0 	2240810.0 	2293040.0 	2325710.0 	2426180.0 	2542220.0 	2589280.0 	2493970.0 	2615260.0 	2746910.0 	2799280.0 	2866480.0 	2984470.0 	3087030.0 	3195210.0 	3333110.0 	3434030.0 	3537280.0 	3450720.0 	3682340.0 	3989390.0 p	4219310.0 p	4328970.0 p	4469810.0 p
A,CP_MEUR,B1GQ,DK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	141320.3 	147724.2 	152890.7 	158043.8 	166899.4 	177893.5 	184146.3 	189957.5 	193641.7 	202915.9 	213381.8 	225930.8 	233960.3 	242720.1 	232270.0 	243429.9 	248105.0 	254300.7 	259530.9 	265635.7 	272193.0 	282265.1 	294355.0 	301017.3 	308546.2 	312118.3 	343318.6 	380567.4 	374173.6 	392400.7 	410372.0 
A,CP_MEUR,B1GQ,EA	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	5586348.3 	5815135.3 	5941628.7 	6182179.2 	6470524.8 	6812746.5 	7275627.0 	7519107.0 	7735516.9 	8059841.3 	8349047.2 	8788081.8 	9289427.3 	9532690.6 	9275982.1 	9539096.0 	9824965.4 	9851872.2 	9955426.2 	10217641.9 	10616222.3 	10904868.5 	11318040.7 	11694023.9 	12084516.3 	11565084.6 	12560299.7 	13690696.4 	14670744.7 	15248539.5 	15835920.4 
A,CP_MEUR,B1GQ,EA12	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	5689554.7 	5927397.6 	6064106.4 	6306933.6 	6605113.6 	6950574.1 	7275627.0 	7519107.0 	7735516.9 	8059841.3 	8349047.2 	8788081.8 	9254490.4 	9469702.5 	9151133.5 	9407995.4 	9672920.9 	9697149.6 	9799409.3 	10034221.3 	10386990.6 	10667847.7 	11064998.9 	11422259.9 	11796539.0 	11279941.0 	12243569.3 	13336753.5 	14198366.7 	14747600.0 	15305738.3 
A,CP_MEUR,B1GQ,EA19	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	5744018.5 	5987410.0 	6132692.5 	6381157.6 	6682072.0 	7036943.9 	7368518.4 	7619737.5 	7844564.2 	8180124.3 	8482932.6 	8940638.5 	9436179.9 	9671413.4 	9335494.8 	9599073.5 	9875054.5 	9906383.5 	10012297.2 	10254052.0 	10616222.3 	10904868.5 	11318040.7 	11694023.9 	12084516.3 	11565084.6 	12560299.7 	13690696.4 	14591558.4 	15162634.3 	15742945.3 
A,CP_MEUR,B1GQ,EA20	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	5761538.6 	6006586.8 	6153972.8 	6404093.7 	6704260.9 	7060575.2 	7394454.9 	7648498.4 	7875580.5 	8213927.1 	8519767.5 	8981259.5 	9480602.8 	9719969.9 	9381356.0 	9645057.2 	9920813.4 	9951251.2 	10057096.5 	10298332.7 	10661709.8 	10952442.0 	11368245.0 	11747059.3 	12140284.1 	11615802.3 	12618690.1 	13758305.8 	14670744.7 	15248539.5 	15835920.4 
A,CP_MEUR,B1GQ,EA21	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	5776057.0 	6016414.7 	6164037.6 	6417531.2 	6717065.2 	7075015.3 	7410360.2 	7665976.7 	7894378.8 	8235020.2 	8543807.4 	9008669.0 	9513067.1 	9757216.1 	9418773.1 	9683346.6 	9962292.6 	9993505.8 	10099152.0 	10341356.8 	10707506.9 	11001193.3 	11420746.0 	11803059.0 	12201478.5 	11677657.9 	12690034.0 	13844384.0 	14765269.8 	15353306.8 	15951938.7 
A,CP_MEUR,B1GQ,EE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2988.1 	3770.0 	4553.7 	5067.5 	5406.9 	6171.6 	6982.1 	7824.9 	8746.7 	9779.6 	11345.4 	13571.2 	16402.2 	16618.9 	14132.5 	14741.8 	16741.9 	18086.6 	19163.2 	20365.6 	21010.9 	22189.0 	24316.1 	26438.5 	28472.1 	27859.3 	31453.3 	36300.9 	38353.4 	39847.7 	41620.8 
A,CP_MEUR,B1GQ,EL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	103206.4 	112262.3 	122477.8 	124754.4 	134588.8 	137827.6 	147438.7 	158902.3 	174096.0 	188905.2 	194773.4 	214298.9 	229282.8 	238735.4 	234322.6 	223590.5 	203475.0 	185899.2 	178113.9 	176071.8 	175362.9 	174448.2 	177378.5 	180615.7 	185181.2 	167539.5 	184574.6 	207008.7 	224686.2 p	236736.0 p	248353.7 p
A,CP_MEUR,B1GQ,ES	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	469819.9 	506096.6 	520533.1 	552906.5 	595242.0 	647569.0 	700958.0 	749744.0 	802683.0 	860059.0 	928122.0 	1004976.0 	1077541.0 	1112432.0 	1072990.0 	1077145.0 	1068690.0 	1035964.0 	1025652.0 	1038949.0 	1087112.0 	1122967.0 	1170024.0 	1212276.0 	1253710.0 	1129214.0 	1235474.0 	1375863.0 	1497761.0 p	1594330.0 p	1687152.0 p
A,CP_MEUR,B1GQ,EU27_2020	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	6341270.6 	6640109.1 	6823243.4 	7113359.7 	7442817.7 	7884970.7 	8260284.9 	8559614.0 	8792709.3 	9195744.5 	9600083.5 	10160793.1 	10788346.2 	11136839.3 	10650843.1 	11047423.0 	11407286.7 	11466415.0 	11594282.1 	11867202.4 	12308193.2 	12638272.4 	13169370.9 	13628646.5 	14122772.4 	13578815.3 	14792278.2 	16170154.5 	17264212.6 	18042085.3 	18831892.5 
A,CP_MEUR,B1GQ,FI	: 	: 	: 	: 	: 	38693.8 	47215.0 	54051.0 	57359.4 	67262.1 	73748.1 	74834.1 	79462.3 	92259.3 	108108.0 	111401.0 	103308.7 	86811.0 	76014.5 	87058.1 	102544.7 	104034.1 	111990.0 	119690.6 	126888.0 	136386.0 	144613.0 	148440.0 	151714.0 	158741.0 	164666.0 	172861.0 	187059.0 	194253.0 	181735.0 	188147.0 	197655.0 	200378.0 	203497.0 	205855.0 	210192.0 	215717.0 	224706.0 	231905.0 	238518.0 	236387.0 	248764.0 	266135.0 	273005.0 	276151.0 	281674.0 
A,CP_MEUR,B1GQ,FR	288049.5 	331012.5 	355596.4 	394484.3 	443872.1 	500064.0 	548132.2 	590815.4 	622888.3 	667733.0 	723609.3 	779175.7 	803521.4 	855722.8 	923514.9 	990441.3 	1018584.6 	1074162.7 	1122160.5 	1168854.1 	1220222.9 	1259758.8 	1279326.6 	1337784.3 	1395148.0 	1473517.3 	1530070.9 	1578330.4 	1622312.8 	1696107.7 	1762047.7 	1846020.8 	1937876.3 	1989999.7 	1935840.2 	1996075.1 	2062141.4 	2088286.7 	2120351.9 	2153733.1 	2201401.6 	2231819.2 	2291680.5 	2355362.8 	2432206.8 	2318276.2 	2508102.3 	2653997.2 	2833826.4 	2935236.2 p	2991055.9 p
A,CP_MEUR,B1GQ,HR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	17520.1 	19176.8 	21280.4 	22936.1 	22188.9 	23631.3 	25936.5 	28760.9 	31016.3 	33802.7 	36834.9 	40621.0 	44423.0 	48556.5 	45861.3 	45983.8 	45758.9 	44867.7 	44799.3 	44280.7 	45487.5 	47573.5 	50204.3 	53035.3 	55767.8 	50717.8 	58390.4 	67609.4 	79186.3 	85905.2 p	92975.1 p
A,CP_MEUR,B1GQ,HU	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	35585.4 	36896.3 	41831.0 	43477.8 	46121.5 	51300.9 	60068.8 	71785.3 	75344.2 	83798.3 	90999.5 	92038.0 	102368.2 	108278.8 	94416.6 	99562.8 	101986.9 	99979.9 	102210.9 	106335.3 	112854.0 	116593.5 	127222.5 	136580.0 	147373.2 	138954.5 	154971.7 	168546.2 	196983.7 	206156.2 	218833.9 p
A,CP_MEUR,B1GQ,IE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	52881.3 	59701.5 	73118.8 	80565.7 	92790.5 	108495.3 	122089.2 	135997.9 	145576.9 	156141.2 	170191.2 	184787.7 	196942.4 	187155.1 	169407.8 	167151.0 	173003.5 	176519.0 	182697.2 	200397.6 	272125.4 	275805.5 	308232.9 	334940.2 	363591.0 	380700.9 	448469.2 	523248.2 	520792.2 	561940.5 	602440.9 
A,CP_MEUR,B1GQ,IS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	5631.7 	6037.8 	6802.0 	7690.3 	8535.9 	9900.3 	9276.0 	10015.1 	10237.9 	11248.0 	13804.3 	14131.7 	16052.2 	11158.1 	9460.7 	10512.9 	11058.1 	11629.5 	12222.7 	13611.7 	15960.5 	19067.0 	22211.8 	22591.2 	22315.1 	19302.5 	22188.1 	27748.6 	29323.9 	30663.5 	34256.9 
A,CP_MEUR,B1GQ,IT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	900369.7 	1035610.7 	1099046.2 	1136926.5 	1177549.7 	1244744.2 	1308623.1 	1355522.3 	1399386.0 	1457356.2 	1499073.1 	1559864.2 	1621714.5 	1643718.8 	1584106.8 	1617944.7 	1657362.2 	1632898.5 	1621260.7 	1635870.7 	1663277.7 	1704856.7 	1744493.0 	1777744.4 	1804066.8 	1670011.9 	1842507.4 	1998072.6 	2142744.4 	2202031.2 	2258048.7 
A,CP_MEUR,B1GQ,LI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	4812.4 	5021.7 	5649.1 	5637.7 	5734.6 	5666.3 	5750.1 	5618.0 	6688.5 	7058.2 	7617.8 p	8231.2 e	: 
A,CP_MEUR,B1GQ,LT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	5156.9 	6639.4 	8966.6 	10070.0 	10339.7 	12503.7 	13690.7 	15177.2 	16674.6 	18312.5 	20986.0 	23999.6 	29034.1 	32683.1 	26973.5 	27663.4 	31066.4 	33240.4 	34874.0 	36410.1 	37440.7 	38820.7 	42274.6 	45947.4 	49239.2 	50264.6 	56709.1 	67081.1 	74317.0 	78996.2 	84258.0 
A,CP_MEUR,B1GQ,LU	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	15946.2 	16462.1 	17266.5 	18005.7 	20547.8 	22986.0 	23879.9 	25011.1 	26227.3 	28189.4 	30281.0 	34175.1 	37641.9 	40009.6 	39050.7 	42402.7 	44323.5 	46526.2 	49094.5 	51791.3 	54142.3 	56208.1 	58168.8 	60193.4 	62415.0 	64499.2 	73039.5 	76731.2 	82115.5 	86180.3 	89521.5 p
A,CP_MEUR,B1GQ,LV	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	4008.1 	4565.2 	5593.9 	6230.7 	6850.7 	8418.0 	9182.2 	9841.0 	10029.0 	11229.7 	13226.9 	16449.4 	21592.4 	23355.3 	18406.6 	17572.2 	19022.6 	21270.9 	21997.0 	22790.5 	23744.3 	24498.2 	26017.1 	28153.4 	29567.0 	29224.3 	32283.8 	36088.7 	39564.2 	40652.3 	43026.2 
A,CP_MEUR,B1GQ,MD	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	7082.6 	7025.0 	7210.8 	8450.3 	9526.5 	10484.4 	10112.5 	11570.8 	13793.6 	15453.5 	16824.8 	18045.0 p
A,CP_MEUR,B1GQ,ME	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2166.3 	2687.1 	3100.0 	2981.9 	3120.5 	3238.0 	3169.3 	3329.6 	3447.2 	3615.0 	3936.6 	4252.5 	4600.9 	4898.4 	4144.8 	4923.2 	5944.4 	7068.8 	7644.5 	8170.7 p
A,CP_MEUR,B1GQ,MK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	4094.6 	4143.5 	4240.5 	4385.9 	4577.7 	5032.0 	5472.2 	6094.5 	6772.1 	6766.5 	7108.3 	7544.2 	7584.8 	8149.6 	8562.0 	9072.3 	9656.5 	10038.3 	10744.0 	11262.0 	10851.7 	11834.7 	13243.2 	14667.4 	15672.0 p	16949.1 e
A,CP_MEUR,B1GQ,MT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2838.2 	3010.5 	3341.0 	3581.2 	3852.1 	4377.0 	4546.1 	4724.5 	4796.9 	4915.6 	5133.8 	5380.6 	5778.2 	6236.5 	6287.6 	6862.0 	7032.8 	7479.5 	8129.4 	8948.5 	10221.4 	10864.3 	12535.7 	13678.6 	14594.2 	14362.4 	16680.3 	17985.3 	20929.2 	23142.3 	24577.9 
A,CP_MEUR,B1GQ,NL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	346510.0 	355624.3 	368473.6 	392001.0 	420143.0 	452191.0 	482941.0 	502901.0 	514901.0 	531573.0 	553122.0 	587444.0 	622775.0 	651299.0 	630173.0 	643022.0 	656013.0 	658232.0 	665567.0 	678627.0 	699175.0 	720175.0 	750861.0 	787273.0 	829767.0 	816463.0 	891550.0 	993820.0 	1050133.0 	1115252.0 	1170579.0 
A,CP_MEUR,B1GQ,NO	26443.9 	32048.2 	36241.7 	36424.8 	38643.8 	46170.3 	56966.2 	63849.3 	69037.3 	78684.7 	86106.0 	79701.4 	81486.3 	85898.3 	92825.3 	93987.5 	97966.7 	100459.8 	102312.9 	106463.5 	115517.7 	127812.1 	141151.8 	136319.6 	151382.2 	185108.4 	193936.4 	207723.8 	202757.6 	213960.0 	250500.2 	278755.5 	298195.2 	323749.7 	285072.6 	332350.4 	368828.4 	408646.0 	406481.2 	389086.7 	361028.8 	346542.3 	368640.5 	385198.6 	378978.5 	335661.0 	440848.6 	587476.0 	464330.3 	462846.4 	470358.7 
A,CP_MEUR,B1GQ,PL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	109251.2 	126689.1 	141122.1 	155540.9 	160193.7 	187532.8 	213857.2 	211220.0 	193199.6 	207064.4 	246903.6 	275514.0 	314356.3 	367420.9 	317876.9 	360890.7 	379540.6 	387660.3 	390177.0 	408714.7 	432485.8 	427658.6 	469071.2 	503951.0 	538423.5 	531827.4 	583001.4 	661712.3 	751931.7 	852229.8 	922865.5 
A,CP_MEUR,B1GQ,PT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	91015.8 	96626.8 	103306.6 	110683.7 	119603.3 	128414.4 	135775.0 	142554.3 	146067.9 	152248.4 	158552.7 	166260.5 	175483.4 	179102.8 	175416.4 	179860.4 	176318.0 	168538.8 	170675.6 	173186.7 	179392.7 	186380.7 	195509.1 	204997.6 	214489.9 	201032.7 	216493.7 	243957.1 	270352.6 	289784.3 p	306749.6 p
A,CP_MEUR,B1GQ,RO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	28589.8 	29035.4 	31450.5 	37063.3 	33726.8 	40594.9 	45143.6 	48695.7 	51108.5 	60402.0 	79223.9 	97215.6 	127632.0 	146589.7 	125219.8 	128305.3 	138528.2 	139307.7 	142936.0 	150528.8 	160289.0 	167497.1 	186399.2 	204780.7 	223341.4 	219839.8 	240986.6 	280777.4 	321577.9 	353633.1 p	380058.1 p
A,CP_MEUR,B1GQ,RS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	28209.6 	19835.3 	24765.0 	20091.1 	20747.9 	30369.9 	15303.4 	19024.9 	20864.2 	21560.1 	22777.2 	26582.1 	32813.0 	37099.0 	33776.0 	32841.2 	36865.2 	35074.4 	37978.2 	37014.0 	37219.6 	38164.7 	40828.4 	44710.6 	48104.5 	49024.2 	55931.3 	63512.8 	75205.2 p	83257.9 p	88672.8 e
A,CP_MEUR,B1GQ,SE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	181450.2 	192581.3 	204133.2 	229933.4 	236737.0 	241537.8 	257340.7 	285224.2 	270638.2 	284182.8 	296070.9 	309720.9 	315348.4 	336866.7 	358064.8 	352761.6 	313033.6 	372381.5 	410287.8 	427901.2 	439805.4 	435639.5 	452337.2 	463918.8 	474838.2 	465753.3 	474202.9 	478106.9 	533953.6 	547190.4 	535176.8 	563572.2 	601240.9 
A,CP_MEUR,B1GQ,SI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	16352.0 	16917.3 	18288.8 	19706.3 	21132.4 	21726.2 	23018.1 	24679.7 	26004.7 	27484.3 	28914.4 	31300.2 	34936.9 	37742.1 	35830.3 	36050.8 	36782.2 	35933.6 	36041.3 	37270.9 	38493.9 	40013.2 	42625.5 	45462.4 	48156.5 	46738.7 	52032.4 	56881.6 	64050.0 	67418.1 	70486.2 
A,CP_MEUR,B1GQ,SK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	15524.4 	17219.8 	19427.8 	20415.6 	19537.0 	22368.6 	23869.3 	26300.3 	29924.1 	34623.4 	39239.7 	45592.0 	56354.7 	66065.4 	64055.1 	68726.7 	71629.5 	73727.6 	74642.7 	76562.3 	80376.3 	81621.6 	84960.4 	90275.9 	94547.5 	94320.6 	101891.6 	109959.8 	123538.7 	130207.5 	136754.3 
A,CP_MEUR,B1GQ,TR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	179629.4 	197491.5 	233205.2 	245042.7 	240363.8 	298848.2 	224789.4 	252071.2 	279289.9 	329015.6 	407228.2 	441934.6 	499751.2 	529385.7 	468545.3 	589054.8 	604835.5 	687291.7 	723009.3 	709567.6 	778072.8 	786644.3 	764822.9 	666902.5 	692385.8 	638349.1 	707145.8 	880351.2 	1051699.7 	1253386.7 	1406211.3 
A,CP_MEUR,B1GQ,UA	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	35062.3 	43915.2 	46469.2 	45961.9 	54027.9 	71835.2 	89091.3 	108496.5 	128508.2 	86946.6 	102270.9 	117384.2 	136750.4 	138021.4 	101185.1 	82203.6 	84254.1 	99198.6 	110834.0 	137528.0 	136595.3 	168960.3 	154006.3 	167632.0 	176270.4 	: 
A,CP_MEUR,B1GQ,XK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3537.6 	3610.4 	4031.0 	4555.9 	4797.3 	5071.3 	5325.1 	5674.4 	6037.3 	6356.5 	6671.5 	7056.2 	6771.6 	7957.9 	8895.7 	9680.1 	10350.4 	11026.3 p
